ministry,recurrent_lkr_mn,capital_lkr_mn,total_lkr_mn
Defence,442017,21453,463470
"Public Administration, Provincial Councils and Local Government",375978,20857,396835
Health,322831,117985,440816
"Education, Higher Education and Vocational Education",199310,137314,336624
"Public Security and Parliamentary Affairs",122495,10833,133328
"Transport, Highways, Ports and Civil Aviation",118845,232076,350921
"Urban Development, Construction and Housing",69004,70895,139899
"Agriculture, Land, Irrigation, Livestock and Community Development",65889,62343,128232
"Power and Energy",33768,83980,117748
"Rural Development, Social Security and Community Empowerment",29298,106856,136154
"Justice and National Integration",27396,5608,33004
"Industries and Entrepreneurship Development",21505,66344,87849
"Women and Child Affairs",19295,20695,39990
"Fisheries, Aquatic and Ocean Resources",11687,18295,29982
"Digital Economy",9020,15680,24700
Tourism,8907,5185,14092
